id,edl1,edl2,edl3,edl4,edl5,edl6,edl7,edl8
73,76.5,1.9,161.70000000000002,9.200000000000001,13.200000000000001,0.0,66.9,0.0
74,23.7,0.0,29.3,0.0,100.49999999999999,0.0,93.60000000000001,0.0
75,60.4,0.0,11.299999999999999,0.0,126.8,0.0,79.5,0.0
76,0.0,0.0,24.1,0.0,3.6,0.0,306.5,0.0
77,30.799999999999997,0.0,235.2,0.0,0.0,0.0,20.0,0.0
78,10.3,0.0,58.3,0.0,42.2,0.0,164.60000000000002,0.0
79,141.4,3.2,122.0,1.4,23.6,0.0,80.69999999999999,0.0
80,0.0,0.0,0.0,0.0,71.6,0.0,316.59999999999997,5.0
81,0.0,0.0,306.90000000000003,0.0,0.0,0.0,150.7,0.0
82,0.0,0.0,86.2,0.0,14.0,0.0,291.8,0.0
83,20.800000000000004,0.0,299.40000000000003,0.0,0.0,0.0,58.00000000000001,0.0
84,14.3,0.0,64.1,0.0,89.3,0.0,230.49999999999997,0.0
85,7.4,0.0,96.30000000000001,0.0,48.9,0.0,274.7,0.0
86,65.49999999999999,0.0,185.39999999999998,0.0,8.1,0.0,143.2,0.0
87,56.9,0.0,178.79999999999998,0.0,21.4,0.0,160.70000000000002,0.0
88,9.100000000000001,0.0,69.39999999999999,0.0,60.3,0.0,245.39999999999998,0.0
89,10.600000000000001,0.0,43.400000000000006,0.0,104.69999999999999,0.0,298.1,0.0
90,18.9,0.0,101.7,0.0,52.4,0.0,248.39999999999998,0.0
91,0.0,0.0,136.5,3.2,0.0,0.0,234.20000000000002,4.0
92,32.2,0.0,95.6,0.0,66.2,0.0,180.1,0.0
93,3.5999999999999996,0.0,10.399999999999999,0.0,51.4,0.0,138.1,0.0
94,0.0,0.0,142.90000000000003,0.0,0.0,0.0,203.79999999999998,0.0
95,34.199999999999996,0.0,146.8,0.0,12.2,0.0,164.2,0.0
96,53.1,0.0,147.7,0.0,47.49999999999999,0.0,186.2,0.0
97,0.9,0.0,69.10000000000001,0.0,31.7,0.0,321.59999999999997,0.0
98,8.5,0.0,53.5,0.0,61.9,0.0,229.9,0.0
99,27.3,0.0,125.2,0.0,28.3,0.0,115.80000000000001,0.0
100,61.2,0.0,218.49999999999997,0.0,1.5,0.0,23.0,0.0
101,25.599999999999998,0.0,100.6,2.4000000000000004,21.099999999999998,0.0,131.1,1.7000000000000002
102,0.0,0.0,20.4,0.0,41.2,0.0,233.99999999999997,0.0
103,0.0,0.0,109.70000000000002,0.0,0.0,0.0,237.00000000000003,0.0
104,92.2,0.0,76.2,0.0,121.1,0.0,81.19999999999999,0.0
105,18.200000000000003,0.0,126.7,0.0,32.8,0.0,205.39999999999998,0.0
106,0.0,0.0,11.899999999999999,0.0,37.599999999999994,0.0,253.0,0.0
107,19.900000000000002,0.0,85.39999999999999,0.0,46.2,0.0,204.40000000000003,3.6
108,29.5,0.0,96.5,0.0,47.3,0.0,102.6,0.0
109,7.800000000000001,0.0,164.6,0.0,3.6,0.0,162.39999999999998,0.0
110,10.200000000000001,0.0,157.4,0.0,9.5,0.0,109.0,0.0
111,0.0,0.0,0.0,0.0,50.2,0.0,153.70000000000002,0.0
112,23.299999999999997,0.0,98.99999999999999,0.0,61.6,0.0,216.1,0.0
113,0.0,0.0,0.0,0.0,5.4,0.0,315.4,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,207.8,0.0
115,40.8,0.0,227.99999999999997,1.8,0.0,0.0,0.0,0.0
116,81.8,0.0,50.4,0.0,75.8,0.0,58.0,0.0
117,0.0,0.0,51.400000000000006,0.0,29.300000000000004,0.0,273.90000000000003,0.0
118,0.0,0.0,151.9,0.0,0.0,0.0,174.4,0.0
119,31.4,0.0,238.0,0.0,0.9,0.0,54.2,0.0
120,0.0,0.0,5.4,0.0,61.8,0.0,274.1,6.0
121,0.0,0.0,8.1,0.0,80.8,3.5,249.39999999999998,15.399999999999999
122,0.0,0.0,7.0,0.0,85.0,0.0,192.39999999999998,0.0
123,29.599999999999998,0.0,52.4,0.0,47.0,0.0,95.89999999999999,0.0
124,31.200000000000003,0.0,109.1,0.0,30.6,0.0,143.79999999999998,0.0
125,3.6,0.0,124.89999999999999,0.0,7.0,0.0,232.7,0.0
126,4.1,0.0,46.8,0.0,37.099999999999994,0.0,150.5,0.0
127,0.0,0.0,59.1,0.0,0.0,0.0,392.90000000000003,0.0
128,0.0,0.0,10.5,0.0,46.5,0.0,189.5,0.0
129,0.0,0.0,8.1,0.0,18.8,0.0,251.39999999999998,0.0
130,7.9,0.0,271.3,0.0,0.0,0.0,74.0,0.0
131,45.1,0.0,305.6,0.0,0.0,0.0,35.199999999999996,0.0
132,0.0,0.0,89.80000000000001,0.0,0.0,0.0,246.9,0.0
133,0.0,0.0,28.000000000000004,0.0,15.5,0.0,258.7,0.0
