id,hough1,hough2,hough3,hough4,hough5,hough6,hough7,hough8,
167,22,0,222,2,25,0,245,6,
168,22,0,222,2,25,0,245,6,
169,0,0,69,0,0,0,390,0,
170,6,0,257,6,6,0,320,1,
171,0,0,408,0,0,0,196,0,
172,76,0,293,0,31,0,81,0,
173,33,0,107,0,76,0,258,0,
174,0,0,216,0,0,0,361,0,
175,0,0,307,0,0,0,150,0,
176,3,0,48,0,63,0,418,0,
177,0,0,194,0,0,0,373,0,
178,0,0,202,0,0,0,330,0,
179,6,0,61,0,40,0,336,0,
180,80,0,422,6,0,0,0,0,
181,0,0,0,0,100,0,293,0,
182,0,0,223,0,0,0,344,0,
183,0,0,369,0,0,0,117,0,
184,55,0,428,0,0,0,10,0,
185,19,0,203,0,13,0,165,0,
186,0,0,592,0,0,0,0,0,
187,7,0,49,0,77,0,311,0,
188,49,0,231,0,61,0,319,3,
189,19,0,264,0,12,0,256,0,
190,41,0,166,0,73,0,251,0,
191,3,0,70,0,58,0,381,0,
192,13,0,185,0,49,0,509,0,
193,1,0,72,0,11,0,324,0,
194,0,0,0,0,48,0,484,26,
195,4,0,209,0,6,0,249,0,
196,266,16,347,23,12,0,64,0,
197,0,0,307,0,0,0,150,0,
198,51,0,96,0,202,0,426,0,
199,0,0,523,0,0,0,36,0,
200,0,0,0,0,8,0,457,9,
201,25,0,400,0,0,0,9,0,
202,5,0,113,0,40,0,355,0,
203,214,0,383,0,16,0,54,0,
204,5,0,115,2,24,0,396,16,
205,84,0,37,0,308,0,207,0,
206,5,0,67,0,31,0,256,0,
207,0,0,157,0,0,0,288,0,
208,0,0,55,0,9,0,406,0,
209,11,0,129,0,45,0,273,0,
210,0,0,77,0,0,0,524,0,
211,1,0,6,0,183,0,316,0,
212,22,0,437,0,0,0,97,0,
213,0,0,39,0,35,0,370,0,
214,28,0,137,0,120,0,365,0,
215,0,0,67,0,8,0,528,0,
216,56,0,143,0,105,0,147,0,
217,2,0,33,0,60,0,374,0,
218,0,0,218,0,0,0,108,0,
219,0,0,218,0,0,0,108,0,
220,80,0,336,0,0,0,4,0,
221,0,0,648,0,0,0,0,0,
222,0,0,0,0,0,0,544,0,
223,25,0,549,7,0,0,0,0,
224,0,0,184,0,0,0,306,0,
225,17,0,66,0,110,0,395,0,
226,79,0,171,0,117,0,223,0,
227,20,0,38,0,177,8,345,19,
228,4,0,27,0,101,0,312,0,
229,0,0,3,0,93,0,357,0,
230,0,0,0,0,25,0,559,6,
231,0,0,184,0,0,0,356,0,
232,0,0,75,0,0,0,357,0,
233,0,0,283,0,0,0,132,0,
234,11,0,169,0,48,0,400,0,
235,8,0,174,0,24,0,404,0,
236,0,0,194,0,0,0,232,0,
237,22,0,206,0,45,0,276,0,
238,0,0,0,0,0,0,375,0,
239,7,0,300,2,19,0,454,7,
240,0,0,0,0,178,5,311,9,
241,7,0,483,0,0,0,49,0,
242,2,0,94,0,9,0,268,0,
243,69,0,137,0,65,0,148,0,
244,3,0,212,0,2,0,206,0,
245,25,0,55,0,156,0,180,0,
246,98,0,283,0,12,0,67,0,
247,61,0,234,5,17,0,169,4,
248,61,0,234,5,17,0,169,4,
249,0,0,70,0,33,0,567,31,
250,43,0,182,0,53,0,257,0,
251,0,0,0,0,7,0,530,2,
252,257,0,230,0,10,0,18,0,
253,243,0,219,0,17,0,17,0,
254,0,0,0,0,0,0,443,0,
255,0,0,0,0,31,0,402,0,
256,0,0,0,0,31,0,402,0,
257,40,0,372,0,8,0,166,0,
258,19,0,145,0,44,0,356,0,
259,95,0,116,0,0,0,0,0,
260,15,0,193,0,13,0,220,0,
261,68,5,193,13,33,1,247,1,
262,2,0,142,0,22,0,460,0,
263,0,0,0,0,70,0,499,0,
264,0,0,350,0,0,0,217,0,
265,0,0,341,0,0,0,275,0,
266,0,0,78,0,0,0,448,0,
267,17,0,368,2,9,0,247,0,
268,74,3,41,15,165,42,91,21,
269,8,0,398,0,0,0,19,0,
270,0,0,185,8,0,0,397,16,
271,17,0,64,0,83,0,255,0,
272,86,0,150,0,62,0,127,0,
273,84,0,306,0,41,0,178,0,
274,0,0,140,0,9,0,510,0,
275,8,0,13,0,208,27,297,22,
276,3,0,181,0,7,0,325,0,
277,3,0,181,0,7,0,325,0,
278,0,0,0,0,75,0,355,0,
279,9,0,118,0,47,0,304,0,
280,47,0,316,0,61,0,419,0,
281,48,0,402,0,0,0,1,0,
282,29,0,321,0,0,0,20,0,
283,38,0,91,0,102,0,231,0,
284,0,0,510,6,0,0,2,0,
285,26,0,122,0,55,0,290,0,
286,23,0,277,0,12,0,156,0,
287,20,0,190,0,45,0,208,0,
288,0,0,148,0,0,0,527,0,
289,0,0,250,0,0,0,507,0,
290,32,0,198,0,179,0,631,0,
291,71,0,176,0,240,0,335,0,
292,19,0,117,0,64,0,316,0,
293,38,0,288,24,3,0,129,1,
294,3,0,354,0,4,0,514,0,
295,218,0,407,0,0,0,26,0,
296,0,0,356,0,0,0,405,0,
297,0,0,343,5,0,0,0,0,
298,3,0,50,0,124,0,557,0,
299,2,0,9,0,149,0,402,0,
300,0,0,71,0,5,0,275,0,
301,22,0,252,0,103,0,656,0,
302,0,0,0,0,0,0,566,0,
303,0,0,0,0,0,0,480,0,
304,178,0,424,0,5,0,121,0,
305,18,0,169,0,16,0,253,0,
306,29,0,453,0,21,0,295,0,
307,38,0,282,0,224,0,726,0,
308,0,0,109,0,0,0,309,0,
309,0,0,109,0,0,0,309,0,
310,161,0,244,0,72,0,87,0,
311,33,0,494,0,0,0,248,0,
312,0,0,0,0,0,0,885,0,
313,42,0,232,0,127,0,466,0,
314,0,0,173,161,0,0,308,300,
315,0,0,56,0,27,0,571,0,
316,49,0,235,0,94,0,373,0,
317,10,0,201,0,34,0,437,0,
318,68,0,281,0,72,0,313,0,
319,96,0,269,0,10,0,94,0,
320,24,0,323,7,25,0,320,9,
321,31,0,204,0,56,0,329,0,
322,31,0,204,0,56,0,329,0,
323,20,0,114,0,156,0,487,0,
324,281,0,172,0,195,0,79,0,
325,0,0,0,0,82,0,347,0,
326,0,0,74,0,0,0,431,0,
327,14,0,137,0,126,0,605,0,
328,3,0,22,0,229,0,580,0,
329,0,0,14,0,0,0,750,0,
330,31,0,404,0,12,0,247,0,
331,110,0,184,0,156,0,214,0,
332,0,0,53,0,130,0,718,8,
333,0,0,96,0,0,0,578,0,
334,0,0,316,0,0,0,225,0,
335,27,0,372,2,56,0,510,9,
336,46,0,198,0,79,0,391,0,
337,0,0,262,0,0,0,503,0,
338,0,0,262,0,0,0,503,0,
339,35,0,131,0,160,0,510,0,
340,0,0,84,0,4,0,476,0,
341,40,0,186,0,72,0,330,0,
342,2,0,85,0,64,0,586,0,
343,271,0,430,0,0,0,0,0,
344,0,0,0,0,117,0,597,0,
345,0,0,183,0,0,0,372,0,
346,0,0,179,0,0,0,349,0,
347,0,0,146,0,0,0,212,0,
348,72,0,384,0,57,0,369,0,
349,33,0,341,0,23,0,292,0,
350,0,0,2,0,0,0,394,0,
351,11,0,117,0,186,1,726,53,
352,31,0,417,0,8,0,300,0,
353,10,0,32,0,144,0,404,0,
354,0,0,0,0,0,0,811,0,
355,0,0,0,0,0,0,811,0,
356,0,0,0,0,37,0,490,0,
357,4,0,461,0,0,0,163,0,
358,4,0,461,0,0,0,163,0,
359,57,0,149,0,193,0,406,0,
360,45,0,329,0,15,0,226,0,
361,21,0,171,3,109,2,358,36,
362,0,0,20,0,78,0,460,0,
363,0,0,0,0,351,0,666,6,
364,1,0,15,0,362,0,504,0,
365,14,0,489,34,4,0,398,32,
366,70,0,384,0,9,0,212,0,
367,11,0,250,0,2,0,162,0,
368,25,0,173,0,130,0,475,0,
369,99,0,473,0,2,0,217,0,
370,97,0,303,0,6,0,133,0,
371,0,0,45,0,0,0,584,0,
372,51,0,145,0,98,0,227,0,
373,0,0,0,0,0,0,482,0,
374,0,0,0,0,11,0,927,0,
375,0,0,0,0,6,0,766,0,
376,60,0,276,0,67,0,352,0,
377,0,0,143,0,0,0,474,13,
378,0,0,0,0,4,0,367,0,
379,92,0,237,0,36,0,188,0,
380,48,0,250,0,49,0,300,0,
381,65,0,155,0,103,0,212,0,
382,0,0,97,0,0,0,506,0,
383,41,0,517,0,0,0,8,0,
384,2,0,71,0,99,0,562,0,
385,0,0,208,59,0,0,298,88,
386,0,0,12,0,54,0,412,0,
387,13,0,68,0,57,0,307,0,
388,13,0,68,0,57,0,307,0,
389,10,0,255,0,47,0,563,0,
390,7,0,121,0,133,0,685,0,
391,0,0,78,0,0,0,734,0,
392,0,0,182,0,1,0,710,11,
393,0,0,182,0,1,0,710,11,
394,0,0,255,0,0,0,377,0,
395,0,0,0,0,208,0,379,0,
396,3,0,40,0,85,0,360,0,
397,0,0,256,0,0,0,529,0,
398,47,0,190,0,66,0,254,0,
399,8,0,99,0,98,0,621,0,
400,61,0,290,0,77,0,332,0,
